"","near_the_big_cell","x_center_big_cell","y_center_big_cell","x_center_cell","y_center_cell","x_TRUE","y_TRUE","rh98","canopy_cover","fire_freq","mean_precip","mean_temp","ecoregion","fire_freq_NA","densite_pop"
"1",61,-15.7241668779334,10.38891417956,-14.424439811445,10.9664244510544,-14.4348037216956,10.9987477599384,4.86799993515015,0.012356000195723,0.736842095851898,2258.59219871507,26.9312683105469,"Guinean_forest-savanna",0,7.63749551773071
"2",61,-15.7241668779334,10.38891417956,-14.6071387057518,10.9664244510544,-14.5740425907341,10.9965019717281,10.8627777894338,0.194408443239,0.684210538864136,2538.91876427174,27.1656127929688,"Guinean_forest-savanna",0,6.82588195800781
"7",63,-10.1287855519739,10.38891417956,-10.4050641366936,10.9664244510544,-10.3699270610547,10.9762898778354,14.8449997901917,0.230933509767056,0.368421047925949,1272.46704606437,26.0224548339844,"Guinean_forest-savanna",0,6.05588912963867
"8",63,-10.1287855519739,10.38891417956,-10.2223652423867,10.9664244510544,-10.2059845217029,10.9695525132045,6.00749987363815,0.01499249972403,0.526315808296204,1276.61182886754,25.95546875,"Guinean_forest-savanna",0,4.53754663467407
"10",63,-10.1287855519739,10.38891417956,-10.7704619253074,10.9664244510544,-10.7314989629128,10.9673067249942,5.89833347002665,0.028482666549583,0.526315808296204,1252.97811655781,25.8560119628906,"Guinean_forest-savanna",0,6.82588195800781
"13",62,-12.9264762149537,10.38891417956,-12.0493541854555,10.9664244510544,-12.0363019130964,10.9538319957324,6.875,0.057940499857068,0.052631579339504,1378.00499394575,23.2756896972656,"Guinean_forest-savanna",0,5.45654296875
"19",63,-10.1287855519739,10.38891417956,-10.2223652423867,10.7866544519348,-10.2014929452823,10.830313644166,4.91500008106232,0.013257499784231,0.421052634716034,1333.73932177377,25.95546875,"Guinean_forest-savanna",0,6.82588195800781
"20",62,-12.9264762149537,10.38891417956,-14.0590420228312,10.7866544519348,-14.0193329027903,10.8280678559557,12.1966665585836,0.371495935651991,0.315789461135864,2287.75234904529,26.242578125,"Guinean_forest-savanna",0,7.79981851577759
"25",63,-10.1287855519739,10.38891417956,-10.4050641366936,10.7866544519348,-10.3654354846341,10.7966268210115,4.26999998092651,0.000315999990562,0.210526317358017,1324.52207379435,26.0224548339844,"Guinean_forest-savanna",0,4.60830307006836
"30",63,-10.1287855519739,10.38891417956,-10.0396663480798,10.7866544519348,-10.0308130412996,10.7606942096467,3.02999997138977,0.012185250408947,0.684210538864136,1396.51364661557,25.95546875,"Guinean_forest-savanna",0,3.83831000328064
"31",62,-12.9264762149537,10.38891417956,-12.5974508683762,10.7866544519348,-12.604486330302,10.7562026332261,6.27416666348775,0.035282208196198,0.368421047925949,1794.30375908826,24.1379333496094,"Guinean_forest-savanna",0,7.65830659866333
"37",62,-12.9264762149537,10.38891417956,-12.780149762683,10.7866544519348,-12.8110988456495,10.7427279039643,6.74833329518636,0.113891832473503,0.052631579339504,1896.13202957119,26.1722045898438,"Guinean_forest-savanna",0,7.65830659866333
"43",62,-12.9264762149537,10.38891417956,-12.0493541854555,10.6068844528152,-12.0654971598303,10.6147179759773,7.44702380895615,0.057687594815867,0.105263158679008,1454.10568001161,22.5503479003906,"Guinean_forest-savanna",0,7.72490072250366
"44",63,-10.1287855519739,10.38891417956,-10.5877630310005,10.6068844528152,-10.5653106353507,10.6079806113464,12.375,0.381554499268532,0.368421047925949,1485.46524166826,25.5092102050781,"Guinean_forest-savanna",0,4.79310035705566
"45",63,-10.1287855519739,10.38891417956,-10.2223652423867,10.6068844528152,-10.2239508273853,10.6057348231361,14.5099997520447,0.36828750371933,0.421052634716034,1582.00296209439,26.0290771484375,"Guinean_forest-savanna",0,3.74591088294983
"46",63,-10.1287855519739,10.38891417956,-10.9531608196142,10.6068844528152,-10.9920103953075,10.5967516702949,13.2400002479553,0.36964125931263,0.684210538864136,1407.07914145036,25.0892883300781,"Guinean_forest-savanna",0,6.8333740234375
"48",62,-12.9264762149537,10.38891417956,-12.4147519740693,10.6068844528152,-12.4562643084223,10.5877685174537,3.5125000278155,0.002831958302219,0.421052634716034,1841.77566539034,23.0791564941406,"Guinean_forest-savanna",0,4.41767740249634
"49",62,-12.9264762149537,10.38891417956,-12.5974508683762,10.6068844528152,-12.5752910835682,10.5855227292434,6.75500011444092,0.039675499778241,0.368421047925949,1861.28936913203,25.340478515625,"Guinean_forest-savanna",0,3.9024064540863
"50",62,-12.9264762149537,10.38891417956,-12.780149762683,10.6068844528152,-12.7437251993406,10.5832769410331,7.84805556138357,0.079246661522322,0.473684221506119,1632.96355291402,25.340478515625,"Guinean_forest-savanna",0,7.65830659866333
"51",63,-10.1287855519739,10.38891417956,-10.0396663480798,10.6068844528152,-10.0128467356172,10.5832769410331,11.3662499189377,0.371892627328634,0.368421047925949,1488.66048317756,26.0290771484375,"Guinean_forest-savanna",0,3.55861496925354
"52",62,-12.9264762149537,10.38891417956,-13.3282464456037,10.6068844528152,-13.3388590750697,10.5810311528228,2.92000007629394,0,0.421052634716034,2275.06857887102,25.1256042480469,"Guinean_forest-savanna",0,8.72797203063965
"53",63,-10.1287855519739,10.38891417956,-10.4050641366936,10.6068844528152,-10.4013680959989,10.5810311528228,12.3000001907349,0.259064335127672,0.473684221506119,1527.85103527182,25.8066040039063,"Guinean_forest-savanna",0,3.74591088294983
"56",63,-10.1287855519739,10.38891417956,-10.7704619253074,10.6068844528152,-10.7876436681703,10.5653106353507,7.23666652043661,0.079320665448904,0.421052634716034,1335.46128541976,25.0892883300781,"Guinean_forest-savanna",0,8.15776062011719
