"","x","y","dupe_count","rh98","canopy_cover","fire_freq","mean_precip","mean_temp","ecoregion","fire_freq_NA"
"1",-16.4088515585482,13.9901376560564,2,3.19499997297923,0,0,647.473256293471,28.1177612304688,"Guinean_forest-savanna",TRUE
"2",-16.4088515585482,13.9901376560564,2,3.19499997297923,0,0,647.473256293471,28.1177612304688,"West_Sudanian",TRUE
"3",-16.4066057703379,13.9856460796358,2,2.79999995231628,0,0,647.473256293471,28.1177612304688,"Guinean_forest-savanna",TRUE
"4",-16.4066057703379,13.9856460796358,2,2.79999995231628,0,0,647.473256293471,28.1177612304688,"West_Sudanian",TRUE
"5",-16.4066057703379,13.9878918678461,2,2.93000000715256,0,0,647.473256293471,28.1177612304688,"Guinean_forest-savanna",TRUE
"6",-16.4066057703379,13.9878918678461,2,2.93000000715256,0,0,647.473256293471,28.1177612304688,"West_Sudanian",TRUE
"7",-16.4043599821276,13.9834002914255,2,3.48500007390976,0.00284600001759827,0,647.473256293471,28.1177612304688,"Guinean_forest-savanna",TRUE
"8",-16.4043599821276,13.9834002914255,2,3.48500007390976,0.00284600001759827,0,647.473256293471,28.1177612304688,"West_Sudanian",TRUE
"9",-16.4043599821276,13.9856460796358,2,3.20500001311302,0.00146700000914279,0,647.473256293471,28.1177612304688,"Guinean_forest-savanna",TRUE
"10",-16.4043599821276,13.9856460796358,2,3.20500001311302,0.00146700000914279,0,647.473256293471,28.1177612304688,"West_Sudanian",TRUE
"11",-16.4021141939173,13.9811545032152,2,4.92999982833862,0.00985199958086014,0,647.473256293471,28.1177612304688,"Guinean_forest-savanna",TRUE
"12",-16.4021141939173,13.9811545032152,2,4.92999982833862,0.00985199958086014,0,647.473256293471,28.1177612304688,"West_Sudanian",TRUE
"13",-16.4021141939173,13.9834002914255,2,4.4791667064031,0.0201311669079587,0,647.473256293471,28.1177612304688,"Guinean_forest-savanna",TRUE
"14",-16.4021141939173,13.9834002914255,2,4.4791667064031,0.0201311669079587,0,647.473256293471,28.1177612304688,"West_Sudanian",TRUE
"15",-16.0921954208961,13.6600067891425,2,6.07638880279329,0.0319929587033888,0.157894730567932,634.797904299812,28.2593933105469,"Guinean_forest-savanna",FALSE
"16",-16.0921954208961,13.6600067891425,2,6.07638880279329,0.0319929587033888,0.157894730567932,634.797904299812,28.2593933105469,"West_Sudanian",FALSE
"17",-16.0899496326858,13.6577610009322,2,11.6269444359673,0.236462417265607,0.157894730567932,634.797904299812,28.2593933105469,"Guinean_forest-savanna",FALSE
"18",-16.0899496326858,13.6577610009322,2,11.6269444359673,0.236462417265607,0.157894730567932,634.797904299812,28.2593933105469,"West_Sudanian",FALSE
"19",-16.0899496326858,13.6600067891425,2,6.9233333269755,0.056335000321269,0.157894730567932,634.797904299812,28.2593933105469,"Guinean_forest-savanna",FALSE
"20",-16.0899496326858,13.6600067891425,2,6.9233333269755,0.056335000321269,0.157894730567932,634.797904299812,28.2593933105469,"West_Sudanian",FALSE
"21",-16.0877038444755,13.6555152127219,2,6.7995833059152,0.0779938319465145,0.105263158679008,634.797904299812,28.2593933105469,"Guinean_forest-savanna",FALSE
"22",-16.0877038444755,13.6555152127219,2,6.7995833059152,0.0779938319465145,0.105263158679008,634.797904299812,28.2593933105469,"West_Sudanian",FALSE
"23",-16.0877038444755,13.6577610009322,2,11.8313888178931,0.252686164859268,0.105263158679008,634.797904299812,28.2593933105469,"Guinean_forest-savanna",FALSE
"24",-16.0877038444755,13.6577610009322,2,11.8313888178931,0.252686164859268,0.105263158679008,634.797904299812,28.2593933105469,"West_Sudanian",FALSE
"25",-16.0854580562652,13.6532694245116,2,3.39111110899183,0.00706749978578753,0,634.797904299812,28.2593933105469,"Guinean_forest-savanna",TRUE
"26",-16.0854580562652,13.6532694245116,2,3.39111110899183,0.00706749978578753,0,634.797904299812,28.2593933105469,"West_Sudanian",TRUE
"27",-16.0854580562652,13.6555152127219,2,3.35000002384186,0.00377650000154972,0.105263158679008,634.797904299812,28.2593933105469,"Guinean_forest-savanna",FALSE
"28",-16.0854580562652,13.6555152127219,2,3.35000002384186,0.00377650000154972,0.105263158679008,634.797904299812,28.2593933105469,"West_Sudanian",FALSE
"29",-16.0832122680549,13.6510236363013,2,3.57499992847443,0.00267100008204579,0,634.797904299812,28.2593933105469,"Guinean_forest-savanna",TRUE
"30",-16.0832122680549,13.6510236363013,2,3.57499992847443,0.00267100008204579,0,634.797904299812,28.2593933105469,"West_Sudanian",TRUE
"31",-16.0832122680549,13.6532694245116,2,2.3633333047231,0,0,634.797904299812,28.2593933105469,"Guinean_forest-savanna",TRUE
"32",-16.0832122680549,13.6532694245116,2,2.3633333047231,0,0,634.797904299812,28.2593933105469,"West_Sudanian",TRUE
"33",-16.0787206916343,13.6465320598807,2,4.99499988555908,0.0444905012845993,0,698.341545750551,28.2593933105469,"Guinean_forest-savanna",TRUE
"34",-16.0787206916343,13.6465320598807,2,4.99499988555908,0.0444905012845993,0,698.341545750551,28.2593933105469,"West_Sudanian",TRUE
"35",-16.0382965038489,13.6016162956747,2,2.375,0,0,647.834695355147,28.2593933105469,"Guinean_forest-savanna",TRUE
"36",-16.0382965038489,13.6016162956747,2,2.375,0,0,647.834695355147,28.2593933105469,"West_Sudanian",TRUE
"37",-15.9417276108061,13.4960642497907,2,6.06607137975239,0.031424273803298,0,898.713165568108,28.4189697265625,"Guinean_forest-savanna",TRUE
"38",-15.9417276108061,13.4960642497907,2,6.06607137975239,0.031424273803298,0,898.713165568108,28.4189697265625,"West_Sudanian",TRUE
