near_the_b,x_center_b,y_center_b,x_center_c,y_center_c,x_TRUE,y_TRUE,rh98,canopy_cov,fire_freq,mean_preci,mean_temp,ecoregion,fire_freq_,densite_po
61.000000000000000,-15.724166877933374,10.388914179559972,-14.424439811444962,10.966424451054440,-14.434803721695561,10.998747759938391,4.867999935150148,0.012356000195723,0.736842095851898,2258.592198715067298,26.931268310546898,Guinean_forest-savanna,"0",7.637495517730714
61.000000000000000,-15.724166877933374,10.388914179559972,-14.607138705751842,10.966424451054440,-14.574042590734086,10.996501971728092,10.862777789433798,0.194408443239000,0.684210538864136,2538.918764271736109,27.165612792968773,Guinean_forest-savanna,"0",6.825881958007812
62.000000000000000,-12.926476214953659,10.388914179559972,-13.328246445603680,10.966424451054440,-13.318646981177055,10.996501971728092,8.056666692097982,0.134643746423535,0.210526317358017,2038.100809789311825,25.449670410156273,Guinean_forest-savanna,"0",15.416501998901367
62.000000000000000,-12.926476214953659,10.388914179559972,-13.510945339910561,10.966424451054440,-13.509538979052454,10.994256183517795,7.289999961853028,0.185099996626377,0.105263158679008,2307.458064907108565,25.443719482421898,Guinean_forest-savanna,"0",26.709173202514648
62.000000000000000,-12.926476214953659,10.388914179559972,-12.780149762683040,10.966424451054440,-12.808853057439226,10.992010395307496,5.274999856948854,0.064780624104767,0.210526317358017,1950.329100522163344,25.512109375000023,Guinean_forest-savanna,"0",118.427375793457017
62.000000000000000,-12.926476214953659,10.388914179559972,-14.241740917138083,10.966424451054440,-14.201241747824485,10.980781454256000,3.786666691303253,0.004512749913071,0.105263158679008,2278.202108063242122,26.242578125000023,Guinean_forest-savanna,"0",18.454853057861328
63.000000000000000,-10.128785551973948,10.388914179559972,-10.405064136693600,10.966424451054440,-10.369927061054725,10.976289877835404,14.844999790191650,0.230933509767056,0.368421047925949,1272.467046064373790,26.022454833984398,Guinean_forest-savanna,"0",6.055889129638672
63.000000000000000,-10.128785551973948,10.388914179559972,-10.222365242386719,10.966424451054440,-10.205984521702913,10.969552513204507,6.007499873638154,0.014992499724030,0.526315808296204,1276.611828867542044,25.955468750000023,Guinean_forest-savanna,"0",4.537546634674072
62.000000000000000,-12.926476214953659,10.388914179559972,-14.059042022831202,10.966424451054440,-14.064248666996258,10.967306724994208,12.461249947547913,0.195940801501274,0.000000000000000,2262.530080162345257,26.242578125000023,Guinean_forest-savanna,"1",17.056379318237305
63.000000000000000,-10.128785551973948,10.388914179559972,-10.770461925307359,10.966424451054440,-10.731498962912832,10.967306724994208,5.898333470026652,0.028482666549583,0.526315808296204,1252.978116557810836,25.856011962890648,Guinean_forest-savanna,"0",6.825881958007812
62.000000000000000,-12.926476214953659,10.388914179559972,-13.145547551296801,10.966424451054440,-13.125509195091357,10.960569360363312,9.465624893477440,0.095043105181200,0.052631579339504,2196.883475245025693,24.980706787109398,Guinean_forest-savanna,"0",100.466995239257812
62.000000000000000,-12.926476214953659,10.388914179559972,-12.962848656989920,10.966424451054440,-12.952583502898349,10.956077783942714,12.095000267028809,0.300478671987851,0.052631579339504,2085.077967768927010,25.512109375000023,Guinean_forest-savanna,"0",27.053798675537109
62.000000000000000,-12.926476214953659,10.388914179559972,-12.049354185455520,10.966424451054440,-12.036301913096437,10.953831995732415,6.875000000000000,0.057940499857068,0.052631579339504,1378.004993945752403,23.275689697265648,Guinean_forest-savanna,"0",5.456542968750000
62.000000000000000,-12.926476214953659,10.388914179559972,-13.876343128524322,10.966424451054440,-13.848652998807575,10.944848842891220,8.985000133514404,0.035171999596059,0.052631579339504,2353.852095534902674,25.868157958984398,Guinean_forest-savanna,"0",25.422246932983398
62.000000000000000,-12.926476214953659,10.388914179559972,-13.693644234217439,10.966424451054440,-13.655515212721877,10.935865690050026,6.020833333333334,0.066541891622473,0.105263158679008,2383.586714058882990,25.443719482421898,Guinean_forest-savanna,"0",15.411508560180664
61.000000000000000,-15.724166877933374,10.388914179559972,-14.972536494365603,10.966424451054440,-14.989513409639365,10.929128325419128,2.909999966621399,0.000000000000000,0.315789461135864,2334.283924948546428,27.207147216796898,Guinean_forest-savanna,"0",24.057069778442383
63.000000000000000,-10.128785551973948,10.388914179559972,-10.953160819614240,10.966424451054440,-10.911162019736736,10.924636748998530,9.553750050975799,0.199961623797814,0.000000000000000,1616.459198574437551,25.185418701171898,Guinean_forest-savanna,"1",16.222288131713867
62.000000000000000,-12.926476214953659,10.388914179559972,-12.232053079762400,10.966424451054440,-12.260880734126317,10.922390960788235,7.863333225250244,0.074705665931106,0.052631579339504,1646.305908446249305,22.462274169921898,Guinean_forest-savanna,"0",10.375339508056641
63.000000000000000,-10.128785551973948,10.388914179559972,-10.222365242386719,10.786654451934808,-10.201492945282315,10.830313644165981,4.915000081062318,0.013257499784231,0.421052634716034,1333.739321773773781,25.955468750000023,Guinean_forest-savanna,"0",6.825881958007812
62.000000000000000,-12.926476214953659,10.388914179559972,-14.059042022831202,10.786654451934808,-14.019332902790282,10.828067855955682,12.196666558583578,0.371495935651991,0.315789461135864,2287.752349045291794,26.242578125000023,Guinean_forest-savanna,"0",7.799818515777588
63.000000000000000,-10.128785551973948,10.388914179559972,-10.770461925307359,10.786654451934808,-10.798872609221796,10.828067855955682,8.733333269755047,0.066413333639503,0.473684221506119,1407.102891810434357,25.185418701171898,Guinean_forest-savanna,"0",45.015857696533203
63.000000000000000,-10.128785551973948,10.388914179559972,-10.587763031000478,10.786654451934808,-10.598997458505202,10.823576279535084,8.574999880790710,0.083294700086117,0.000000000000000,1396.059794590563342,25.856011962890648,Guinean_forest-savanna,"1",220.694869995117188
